mu,size,period,sensitivity
0.5337002478315764,0.39822893841970985,COVID Wave 1,covid_primary_t
0.7046072179496439,0.735164776342772,COVID Wave 1,covid_primary_t
0.611886138439784,0.5177185996879223,COVID Wave 1,covid_primary_t
0.601360559365522,0.37710127222301015,COVID Wave 1,covid_primary_t
0.5658693986479806,0.461160358368799,COVID Wave 1,covid_primary_t
0.6120041611484768,0.4216948857023983,COVID Wave 1,covid_primary_t
0.5338658561412088,0.5126216629218533,COVID Wave 1,covid_primary_t
0.5374287663208858,1.0086833678048353,COVID Wave 1,covid_primary_t
0.5444251715511751,0.6622281484902663,COVID Wave 1,covid_primary_t
0.5657776425310278,0.6152887525464867,COVID Wave 1,covid_primary_t
0.6083501009224243,0.6835216765386584,COVID Wave 1,covid_primary_t
0.47340757502557745,0.41243259358413337,COVID Wave 1,covid_primary_t
0.6795824171538004,0.48913977429353317,COVID Wave 1,covid_primary_t
0.5195454724325091,0.5634768924189257,COVID Wave 1,covid_primary_t
0.6120412598367557,0.5520950280530683,COVID Wave 1,covid_primary_t
0.5659514924007467,0.5248554673102871,COVID Wave 1,covid_primary_t
0.6404818599976032,0.6300865299133015,COVID Wave 1,covid_primary_t
0.6548218525411345,0.5953070276269492,COVID Wave 1,covid_primary_t
0.46621942255526416,1.3781109642998683,COVID Wave 1,covid_primary_t
0.6510392500468406,0.5068774897057446,COVID Wave 1,covid_primary_t
0.5729690878691734,0.49666272167666864,COVID Wave 1,covid_primary_t
0.6406925375158514,0.443840844520784,COVID Wave 1,covid_primary_t
0.5658646686715623,0.6564763348755138,COVID Wave 1,covid_primary_t
0.5016505836991536,0.5254804411106362,COVID Wave 1,covid_primary_t
0.530123664424484,0.3648905060300943,COVID Wave 1,covid_primary_t
0.48757680617127463,0.5392845682633227,COVID Wave 1,covid_primary_t
0.6263974893875641,0.5752045916508872,COVID Wave 1,covid_primary_t
0.5230881923187323,0.6429957515136783,COVID Wave 1,covid_primary_t
0.6582969450068472,0.6671463676362989,COVID Wave 1,covid_primary_t
0.42364580988283335,0.836231132111547,COVID Wave 1,covid_primary_t
0.5871152024364992,0.9733080972968826,COVID Wave 1,covid_primary_t
0.5232535870927442,0.7584125859244112,COVID Wave 1,covid_primary_t
0.6298489613596786,0.3036500999022925,COVID Wave 1,covid_primary_t
0.5089850818034042,0.43450632391587096,COVID Wave 1,covid_primary_t
0.6158454736075993,0.36667638042555817,COVID Wave 1,covid_primary_t
0.5409498871089176,0.5723278435887422,COVID Wave 1,covid_primary_t
0.5337819427107751,0.4488881611173108,COVID Wave 1,covid_primary_t
0.5016163781168927,0.4136028308866971,COVID Wave 1,covid_primary_t
0.6013678842921768,0.44446058063245214,COVID Wave 1,covid_primary_t
0.5694150146168585,0.4412654807528849,COVID Wave 1,covid_primary_t
0.5370847114707431,0.44940480560617385,COVID Wave 1,covid_primary_t
0.6478671910676205,0.4006117363516611,COVID Wave 1,covid_primary_t
0.4057793110098453,0.42192425846974424,COVID Wave 1,covid_primary_t
0.6370827673983536,0.5563715758943849,COVID Wave 1,covid_primary_t
0.5053890961328292,0.5717905453795183,COVID Wave 1,covid_primary_t
0.4946222199993048,0.48500888339161763,COVID Wave 1,covid_primary_t
0.562285357192781,0.6793066075847272,COVID Wave 1,covid_primary_t
0.523081822500123,0.6615822837596403,COVID Wave 1,covid_primary_t
0.5444129331028079,0.5041031075838123,COVID Wave 1,covid_primary_t
0.6157024132142754,0.5366828685841603,COVID Wave 1,covid_primary_t
0.6334284891862233,0.38704633154822354,COVID Wave 1,covid_primary_t
0.580161109415391,0.39359592264606463,COVID Wave 1,covid_primary_t
0.427002008629936,0.844526530439508,COVID Wave 1,covid_primary_t
0.444902413803699,0.8491529341514121,COVID Wave 1,covid_primary_t
0.5229554261720583,0.6896259829753069,COVID Wave 1,covid_primary_t
0.5479749822043203,0.33554410007263674,COVID Wave 1,covid_primary_t
0.57283616423252115,0.5067073917251632,COVID Wave 1,covid_primary_t
0.5264010427800088,0.6927392573839927,COVID Wave 1,covid_primary_t
0.6264228643263829,0.40083923972105184,COVID Wave 1,covid_primary_t
0.540923257748599,0.9021866993343796,COVID Wave 1,covid_primary_t
0.6261597890392856,0.5393367737631015,COVID Wave 1,covid_primary_t
0.5552446729748902,0.38091519691485387,COVID Wave 1,covid_primary_t
0.4910449753577167,0.5547570084981652,COVID Wave 1,covid_primary_t
0.5729796509048632,0.4076745035138691,COVID Wave 1,covid_primary_t
0.6228740778217461,0.5933815371723625,COVID Wave 1,covid_primary_t
