t,period,dataset,kt,kt_upper,kt_lower,Rt,Rt_upper,Rt_lower
2020-12-15,COVID Wave 3,primary,0.13173266781456353,0.1789183429671975,0.09757314796557773,0.48673145896997455,0.6288369839943897,0.36448993096173254
2020-12-16,COVID Wave 3,primary,0.17476731692962352,0.23713776614412976,0.13103454976728807,0.6021413856479838,0.7688178399349261,0.46577240478921295
2020-12-17,COVID Wave 3,primary,0.191825912689111,0.2638891213877849,0.14381721335704561,0.6357442009585087,0.7904783990368067,0.49165957438169333
2020-12-18,COVID Wave 3,primary,0.20099188694551817,0.26124450958803175,0.14935438954131666,0.6659972891492151,0.8175516772963418,0.5212490933885967
2020-12-19,COVID Wave 3,primary,0.24954792563511374,0.345631371967016,0.18067654790781254,0.6518708063024077,0.8052929130850748,0.505976816125626
2020-12-20,COVID Wave 3,primary,0.2610740312619765,0.37842492179431747,0.19028523422625204,0.5245149565925588,0.6552736412389584,0.40278695520043384
2020-12-21,COVID Wave 3,primary,0.19556923306759777,0.2896156394109597,0.13467170989043076,0.44237586727442574,0.5649588087861187,0.32819157261693005
2020-12-22,COVID Wave 3,primary,0.17196973891094391,0.25957416889921664,0.11679583633408931,0.4006292909390839,0.5277054004471511,0.28737611767970184
2020-12-23,COVID Wave 3,primary,0.20279643140087694,0.3446462887744419,0.1325029455722731,0.3130842197697553,0.40672812664136515,0.22438133423803314
2020-12-24,COVID Wave 3,primary,0.22228389443128221,0.35017103939172545,0.14493480413124316,0.3628098993809571,0.46906221663373915,0.2676079449231391
2020-12-25,COVID Wave 3,primary,0.1708486350686193,0.25366294633186515,0.11598314498188501,0.4275169959119796,0.5589429994072178,0.3090445303779586
2020-12-26,COVID Wave 3,primary,0.17051762014476285,0.2527689831576173,0.11628687321369574,0.48057639129801927,0.615829289835518,0.3435503767890652
2020-12-27,COVID Wave 3,primary,0.19397214859135375,0.273047386327619,0.13682203615844202,0.6190283889506136,0.8031947815686905,0.45775089672388103
2020-12-28,COVID Wave 3,primary,0.21473756090566243,0.310707281258276,0.14643237564015466,0.6759832083078592,0.8708438542571052,0.4846263692785078
2020-12-29,COVID Wave 3,primary,0.1887418558729039,0.2644913783446235,0.1290546692604818,0.7400537899371338,0.9612833108630231,0.5355499612620503
2020-12-30,COVID Wave 3,primary,0.22052316299228306,0.3169082718069214,0.14995384835281647,0.7382628096981259,0.9533518644622145,0.5264329099724847
2020-12-31,COVID Wave 3,primary,0.34747796595257763,0.5032857341224612,0.23412271872135232,0.848527621002958,1.0866276541694153,0.6334154587473986
2021-01-01,COVID Wave 3,primary,0.33195863648912366,0.5162042634792691,0.22200588450327566,0.7167940867354662,0.9260233290806117,0.5435610771477948
2021-01-02,COVID Wave 3,primary,0.33316120348819744,0.5336453007682791,0.21845222188425742,0.7965715874955318,1.0462288082283306,0.5723315926434847
2021-01-03,COVID Wave 3,primary,0.27843638876939936,0.4296942213268748,0.19118921096781305,0.7463834009528498,0.9626605510750909,0.5490003120179244
2021-01-04,COVID Wave 3,primary,0.3326166454436621,0.5276192251991483,0.23434000107978056,0.758713186672157,0.9823114087953767,0.5669133117360331
2021-01-05,COVID Wave 3,primary,0.21165693849741307,0.3223573167042515,0.14654774377312338,0.6752199547987507,0.894473900979428,0.47236029117956074
2021-01-06,COVID Wave 3,primary,0.23805959961992668,0.3293640633686969,0.17473156938946702,0.815008520414805,1.0369100468097963,0.6157652381985848
2021-01-07,COVID Wave 3,primary,0.25219722250567284,0.3378814746096819,0.19045963331493432,0.9200819409276852,1.1229004020010274,0.7238190471039097
2021-01-08,COVID Wave 3,primary,0.32684099734534,0.43798482213532425,0.24523569281322857,0.9473930839475593,1.140109895765138,0.7671468666953527
2021-01-09,COVID Wave 3,primary,0.29736819102666734,0.39361897182650407,0.22310229269387438,0.9189536265253593,1.1157522839683682,0.7385794765307713
2021-01-10,COVID Wave 3,primary,0.3821071679228319,0.5149873810176294,0.29707976305727285,0.8894428179433557,1.055626375891861,0.724862648376678
2021-01-11,COVID Wave 3,primary,0.334333151491878,0.4679393742079876,0.24717421179830304,0.7040197269824378,0.8454048696258046,0.5684925551357699
2021-01-12,COVID Wave 3,primary,0.38822635327348004,0.5453100426038068,0.28088080590715736,0.5644253182433109,0.6750647965104124,0.4700371500071912
2021-01-13,COVID Wave 3,primary,0.36106850010845104,0.5117639890738516,0.26404266818188893,0.5109486647247361,0.6120883848729893,0.4205059159557591
2021-01-14,COVID Wave 3,primary,0.3745584702029412,0.5301102573743699,0.2749412099096542,0.5023487777553794,0.5897026028819472,0.4187360459382218
2021-01-15,COVID Wave 3,primary,0.3404880344489495,0.47497186087448495,0.24895988903311964,0.45717312241416164,0.547576417497746,0.3660288620007125
2021-01-16,COVID Wave 3,primary,0.3180195052979935,0.4428645741247963,0.23113314277142213,0.48201246673939835,0.5768345454737107,0.3905583198247034
2021-01-17,COVID Wave 3,primary,0.2434223631865806,0.32794650424416893,0.17425829457422137,0.5049708792621699,0.6201809888191051,0.3986422634023891
2021-01-18,COVID Wave 3,primary,0.21070716507883902,0.29062488741959075,0.1496575555902614,0.474257813384676,0.5942327329914631,0.366424447939512
2021-01-19,COVID Wave 3,primary,0.17600877961658085,0.2525154564822415,0.12341981129212676,0.40489299188300204,0.5260362685161138,0.29900414021283694
2021-01-20,COVID Wave 3,primary,0.17886664979343947,0.2660181001834703,0.12490206328670342,0.40803620167957977,0.5348630858464084,0.2966972097270831
2021-01-21,COVID Wave 3,primary,0.1698855256993888,0.26017386982780555,0.1146324821420859,0.3892888255123589,0.5066876310616716,0.28259378423255593
2021-01-22,COVID Wave 3,primary,0.23302407355810995,0.3769962096097605,0.150340866274702,0.30862506465799844,0.40548746269018315,0.21657398077629025
2021-01-23,COVID Wave 3,primary,0.18474850733792703,0.29410283198765297,0.11604255295918073,0.33687018562295135,0.450766998144387,0.23315538185445855
2021-01-24,COVID Wave 3,primary,0.15634493168452904,0.24955541995819108,0.10044840156767144,0.4045052563639596,0.5506564499787684,0.2657655467635303
2021-01-25,COVID Wave 3,primary,0.10706607172854984,0.1595080163346952,0.06683526092497388,0.4270747020362286,0.5951120174234934,0.27025533566662197
2021-01-26,COVID Wave 3,primary,0.12077496882638766,0.17613468867755,0.08020696761334734,0.6199945243505006,0.8381121105530339,0.41925511675000215
2021-01-27,COVID Wave 3,primary,0.11542323174748395,0.16728230415205206,0.07516223760209036,0.6787367319001658,0.9341189086774981,0.4498998882196805
2021-01-28,COVID Wave 3,primary,0.137425925113145,0.21100653160008148,0.08446082763675618,0.6971048236098157,0.9719429537617142,0.44240481969170836
2021-01-29,COVID Wave 3,primary,0.19623986776893854,0.306651522746206,0.1212626598286311,0.679251588804191,0.9116430511362194,0.45110721267369314
2021-01-30,COVID Wave 3,primary,0.2822428005794808,0.49649179422879786,0.16921522753421617,0.683801466427952,0.923795465611901,0.46672850068300237
2021-01-31,COVID Wave 3,primary,0.3575809800256332,0.6422506551172115,0.2078712314177108,0.5113685596073397,0.672782685689301,0.3643810796174454
2021-02-01,COVID Wave 3,primary,0.33309697046373543,0.5928892450766301,0.19540217552625833,0.5113311289019469,0.695375200730175,0.3523768180530178
2021-02-02,COVID Wave 3,primary,0.2509617008988895,0.47788884091582823,0.14181631179198062,0.4103402923960766,0.5689316510096096,0.2660857439851636
2021-02-03,COVID Wave 3,primary,0.2219713707316941,0.44034820270488895,0.12349097127240515,0.3975009323031731,0.5741392643518126,0.2376133331435229
2021-02-04,COVID Wave 3,primary,0.17295391276820007,0.3425701075552141,0.09440397606992063,0.34230364690148424,0.5105733514802191,0.19153477803047977
2021-02-05,COVID Wave 3,primary,0.26310070498232063,3.0347890162056017,0.09944605425346266,0.2410011280457624,0.3846121336759133,0.12817526662533585
2021-02-06,COVID Wave 3,primary,1.0599569672902858,15.42640973487449,0.2737365356175018,0.22056097165555996,0.3253243733524299,0.13699713665105928
2021-02-07,COVID Wave 3,primary,1.4846578784868103,54.20074981468828,0.3964775143874355,0.22911709637079306,0.3230706705221206,0.1384479872005473
2021-02-08,COVID Wave 3,primary,1.62116590176714,20.769010792573376,0.31303196492523494,0.18297413140258234,0.26981984762497,0.11192183279090454
2021-02-09,COVID Wave 3,primary,2.2421700781539995,60.937492847439515,0.5774710403279273,0.261684310963463,0.3684947337874764,0.15789412130136093
2021-02-10,COVID Wave 3,primary,1.105465744753114,9.298450961793167,0.33332237327739733,0.3674478995345891,0.5197539964322937,0.20757806383073502
2021-02-11,COVID Wave 3,primary,0.48327525823207074,1.5418449406007493,0.21301360222447074,0.5515724576777254,0.7924223465124601,0.33958184925818824
2021-02-12,COVID Wave 3,primary,0.19933507909588474,0.7797778129628385,0.09903459487899231,1.1805261166804624,2.3034564406248634,0.43295740520818526
2021-02-13,COVID Wave 3,primary,0.24698869641141397,0.7982124121091367,0.12561759490996652,1.3240577212055271,2.4136995091593105,0.5606839550145628
2021-02-14,COVID Wave 3,primary,0.29464231372694316,0.8166470112554349,0.1522005949409407,1.4675893257305916,2.523942577693757,0.6884105048209402
2021-02-15,COVID Wave 3,primary,0.24835377201531716,0.6016840926125804,0.126471655190439,1.4140177090462671,2.4237987159018797,0.6489506759448399
2021-02-16,COVID Wave 3,primary,0.26317130690027335,0.6680080357890853,0.13057536734550845,1.4147866550045687,2.6141509694052405,0.6481777741649202
2021-02-17,COVID Wave 3,primary,0.19103672649078585,0.4516627717622817,0.09354114411630254,1.1169695798270778,2.1087445091091395,0.47063105068277167
2021-02-18,COVID Wave 3,primary,0.3190759594738968,0.5910382122131524,0.16277176144824032,0.6825737971387198,0.9662550710137315,0.40691656765294665
2021-02-19,COVID Wave 3,primary,0.21386979182344212,0.3691122406197571,0.11798219846561021,0.47877201707661576,0.7065075926952035,0.2800103523056684
2021-02-20,COVID Wave 3,primary,0.16560305802551842,0.3185430023024871,0.08084264990068935,0.28763517041750275,0.4444397460397167,0.1604695188641575
2021-02-21,COVID Wave 3,primary,0.0831693946299598,0.22350334281409628,0.034526960246305576,0.24901861241031406,0.4236731466416961,0.10591777212216653
2021-02-22,COVID Wave 3,primary,0.06026265145923867,0.19935618967169882,0.022881115281107266,0.20547227711321103,0.3720854543778372,0.08137595314085498
2021-02-23,COVID Wave 3,primary,0.0954312030060469,0.20440395237597841,0.041556203105008835,0.32800933289382134,0.5788356204299054,0.14477147179886057
2021-02-24,COVID Wave 3,primary,0.08818180379618429,0.18381556799180732,0.03703347075827571,0.39341126680557353,0.6553001158622407,0.17243427987403204
2021-02-25,COVID Wave 3,primary,0.09957453553761225,0.19923925745628895,0.041276654239474256,0.433247430371702,0.7405406308660469,0.16672368455954434
2021-02-26,COVID Wave 3,primary,0.25445153813236837,0.727371810138825,0.10977250410032241,0.35592974191923815,0.5614703768244023,0.19293509741706424
2021-02-27,COVID Wave 3,primary,0.3094089647851212,0.7225808329741141,0.142990709340569,0.4266887502739043,0.6393201292959874,0.2132134551286864
2021-02-28,COVID Wave 3,primary,0.3767666924098387,1.5175541525037135,0.14013854656995317,0.3487659535873905,0.5384389059797228,0.17311968549431608
2021-03-01,COVID Wave 3,primary,0.6452350701879973,1.6313217841869376,0.31857621342799325,0.5866990393409501,0.799998116044565,0.3832929689693474
2021-03-02,COVID Wave 3,primary,1.1350895750443004,4.082893663987303,0.5219014519818213,0.6766619488943548,0.9243826693590751,0.4527880296057865
2021-03-03,COVID Wave 3,primary,1.0186950962996648,2.4022702808520573,0.5358850720726588,0.9266450072597947,1.2070056110102836,0.6713900102017731
2021-03-04,COVID Wave 3,primary,1.5402854020402335,4.203055300195727,0.8102529936482831,1.1426107045975908,1.4484914191839138,0.8570235265275252
2021-03-05,COVID Wave 3,primary,1.292143463719404,3.0198747993499357,0.6616613616298326,1.0952987635296392,1.4258363015160564,0.7963202326616645
