t,method,rt,rt_lower,rt_upper,period
2020-11-09,EpiNow2,1.5443764402934417,1.3088759313755052,1.765524409107851,COVID Wave 3
2020-11-10,EpiNow2,1.6350524512341202,1.416100957157824,1.850469010180586,COVID Wave 3
2020-11-11,EpiNow2,1.731485772411269,1.5410395571667364,1.9505122719701105,COVID Wave 3
2020-11-12,EpiNow2,1.818663540222832,1.6278177845917363,2.0618111641061567,COVID Wave 3
2020-11-13,EpiNow2,1.8923036753355769,1.6898531493205773,2.16917711445382,COVID Wave 3
2020-11-14,EpiNow2,1.9391711019146012,1.7065084590067476,2.2493316168968978,COVID Wave 3
2020-11-15,EpiNow2,1.9477093826804683,1.6985998163616152,2.2744757740758907,COVID Wave 3
2020-11-16,EpiNow2,1.916818962745626,1.6594971355144807,2.243667424302655,COVID Wave 3
2020-11-17,EpiNow2,1.8458952197319176,1.6099278157666084,2.157899592539904,COVID Wave 3
2020-11-18,EpiNow2,1.7487392484770057,1.5292765185513533,2.0222163350847664,COVID Wave 3
2020-11-19,EpiNow2,1.6335585679801958,1.441708305583851,1.8609410371713289,COVID Wave 3
2020-11-20,EpiNow2,1.5073346038499271,1.3371698234756264,1.693012847246245,COVID Wave 3
2020-11-21,EpiNow2,1.3860812810938414,1.2183248562715834,1.539358097124313,COVID Wave 3
2020-11-22,EpiNow2,1.271356619830612,1.1121516689855575,1.4120721037246506,COVID Wave 3
2020-11-23,EpiNow2,1.1733661187691329,1.0141582523686183,1.3175116860166922,COVID Wave 3
2020-11-24,EpiNow2,1.0889964082921453,0.9334621344371372,1.2344025857200378,COVID Wave 3
2020-11-25,EpiNow2,1.022481019526801,0.8735024853098032,1.166670866274545,COVID Wave 3
2020-11-26,EpiNow2,0.9745358469953128,0.8332884020053288,1.1145664685385648,COVID Wave 3
2020-11-27,EpiNow2,0.94228864830359,0.8070420728002143,1.0795278164112845,COVID Wave 3
2020-11-28,EpiNow2,0.9247457343783692,0.7950207246225436,1.0487608352208495,COVID Wave 3
2020-11-29,EpiNow2,0.9166740510416962,0.7943314516314461,1.0337403456382943,COVID Wave 3
2020-11-30,EpiNow2,0.9170428015500448,0.7977067565719951,1.0316518570871729,COVID Wave 3
2020-12-01,EpiNow2,0.921922113531478,0.8019648484089191,1.0409187364422403,COVID Wave 3
2020-12-02,EpiNow2,0.927524962133178,0.8130925362891975,1.0595450624230278,COVID Wave 3
2020-12-03,EpiNow2,0.936612926882462,0.8226724191525829,1.0788759857058308,COVID Wave 3
2020-12-04,EpiNow2,0.9454278294048504,0.8309397312499973,1.0834475724371655,COVID Wave 3
2020-12-05,EpiNow2,0.9509960721643368,0.8334742826366472,1.0898500552383914,COVID Wave 3
2020-12-06,EpiNow2,0.9540645320551258,0.8343312132411148,1.0904709613913084,COVID Wave 3
2020-12-07,EpiNow2,0.953867690006438,0.8362700121606196,1.090998271403966,COVID Wave 3
2020-12-08,EpiNow2,0.9475910840015012,0.8304488750002282,1.0823404932984522,COVID Wave 3
2020-12-09,EpiNow2,0.9404796376919272,0.8256359803151637,1.0779891679323077,COVID Wave 3
2020-12-10,EpiNow2,0.9311676107893452,0.8170502699069109,1.0679157561283597,COVID Wave 3
2020-12-11,EpiNow2,0.9209451786322668,0.8078654688928931,1.05338297736438,COVID Wave 3
2020-12-12,EpiNow2,0.9098324927419555,0.7973576887356187,1.03727240217143,COVID Wave 3
2020-12-13,EpiNow2,0.8942661005191559,0.786090452920116,1.0234065292614616,COVID Wave 3
2020-12-14,EpiNow2,0.8831978012077287,0.7730436481152587,1.0073405538667817,COVID Wave 3
2020-12-15,EpiNow2,0.8700994017083475,0.7614444986963559,0.9942359827530336,COVID Wave 3
2020-12-16,EpiNow2,0.8580198657066102,0.747378398478203,0.979257930640308,COVID Wave 3
2020-12-17,EpiNow2,0.8459421908963844,0.7352485611751522,0.9666612202580204,COVID Wave 3
2020-12-18,EpiNow2,0.8329973731982033,0.7220032984734015,0.9563702041207424,COVID Wave 3
2020-12-19,EpiNow2,0.8209490446432133,0.7114853038863115,0.9461807903468072,COVID Wave 3
2020-12-20,EpiNow2,0.8100882034564436,0.7034627482472551,0.9384261871927432,COVID Wave 3
2020-12-21,EpiNow2,0.8028774055125344,0.6967098272714873,0.9253140520039836,COVID Wave 3
2020-12-22,EpiNow2,0.7990749715059811,0.6941475006912886,0.9192324250012176,COVID Wave 3
2020-12-23,EpiNow2,0.7980425063854922,0.6910505947842839,0.9188645907203442,COVID Wave 3
2020-12-24,EpiNow2,0.8006988260476706,0.6948396897877291,0.9221979451588695,COVID Wave 3
2020-12-25,EpiNow2,0.8089166897887277,0.7003021484157609,0.93189834743927,COVID Wave 3
2020-12-26,EpiNow2,0.8227826374028915,0.7133456991921321,0.9435313633732668,COVID Wave 3
2020-12-27,EpiNow2,0.8401238967076552,0.7251265696440636,0.9594828242144082,COVID Wave 3
2020-12-28,EpiNow2,0.8635510174663977,0.7466761754324465,0.9831407438689508,COVID Wave 3
2020-12-29,EpiNow2,0.892845274160724,0.7698066475618054,1.0169543269424364,COVID Wave 3
2020-12-30,EpiNow2,0.9264807821692678,0.7989807446671392,1.0531864484948672,COVID Wave 3
2020-12-31,EpiNow2,0.9639463639211558,0.8316616468078659,1.095682934580283,COVID Wave 3
2021-01-01,EpiNow2,1.0061096239561618,0.8717053267576531,1.1402020176032086,COVID Wave 3
2021-01-02,EpiNow2,1.0486719665060011,0.9134874845778524,1.1887703669674554,COVID Wave 3
2021-01-03,EpiNow2,1.094636564441417,0.958399967112742,1.2374998718071992,COVID Wave 3
2021-01-04,EpiNow2,1.140542118023138,1.0011425209518294,1.285195092703922,COVID Wave 3
2021-01-05,EpiNow2,1.1837407278696264,1.0409120526442173,1.3334962730762867,COVID Wave 3
2021-01-06,EpiNow2,1.2228412682234953,1.082672519011175,1.3691906590697946,COVID Wave 3
2021-01-07,EpiNow2,1.2508253690812396,1.1133012806653964,1.4065246625585517,COVID Wave 3
2021-01-08,EpiNow2,1.2710485368181734,1.1256322912844596,1.434917894419323,COVID Wave 3
2021-01-09,EpiNow2,1.2795165279314704,1.1307053600568406,1.4484779595600616,COVID Wave 3
2021-01-10,EpiNow2,1.270741960735942,1.122567040805435,1.43850303373985,COVID Wave 3
2021-01-11,EpiNow2,1.243678253089192,1.102618295757642,1.4125752316950166,COVID Wave 3
2021-01-12,EpiNow2,1.207077950251617,1.0667811252911257,1.3748782347924,COVID Wave 3
2021-01-13,EpiNow2,1.1560039886177038,1.0230583041954184,1.3227923942565682,COVID Wave 3
2021-01-14,EpiNow2,1.098027738809208,0.9726383918521858,1.2559107147317508,COVID Wave 3
2021-01-15,EpiNow2,1.0343733527073715,0.912056601608415,1.177597258492424,COVID Wave 3
2021-01-16,EpiNow2,0.9690676049698996,0.8526010769704087,1.1009560501361808,COVID Wave 3
2021-01-17,EpiNow2,0.9078276093306512,0.788222614458282,1.0340872493941111,COVID Wave 3
2021-01-18,EpiNow2,0.851073939086466,0.7319377801973022,0.9727991760209872,COVID Wave 3
2021-01-19,EpiNow2,0.7984437056175984,0.6811344558468552,0.9179405704519024,COVID Wave 3
2021-01-20,EpiNow2,0.7568026795120313,0.6415985283701156,0.8711197909093197,COVID Wave 3
2021-01-21,EpiNow2,0.7236537803537895,0.610034656128842,0.8365305486763154,COVID Wave 3
2021-01-22,EpiNow2,0.700963355624467,0.5863721119969858,0.8076707338588724,COVID Wave 3
