t_start,t_end,window,k_input,Rc,Rc_lower,Rc_upper,kc,kc_lower,kc_upper,window_t,t
9,16,weekly,100,2.1175330660200817,1.2918174233432094,3.3675929053446687,1241011.6605788579,1.945097680650936,19147991.161407348,7,12.5
9,23,fortnightly,100,2.0340064518828185,1.5713361317086842,2.5596513173278113,350135.0268184251,3.842282907620372,10904131.347005365,14,16
10,17,weekly,100,2.110847737068025,1.3873654346754087,3.256386678339453,869286.4134923159,2.1028375708437657,17510322.999082554,7,13.5
10,24,fortnightly,100,2.028011167558868,1.576976472258581,2.513900713734568,253150.8112554165,4.236000598625799,9163597.991257375,14,17
11,18,weekly,100,2.0897495024692883,1.443612704052584,3.0880820397921878,869286.4134923159,2.36147029153901,16365849.671874411,7,14.5
11,25,fortnightly,100,2.023367646512183,1.5906323416802575,2.474563404482702,253150.81120787654,4.526566564290735,8487572.56795699,14,18
12,19,weekly,100,2.0683309273417603,1.4147998254099337,2.946909326683166,813222.0761018324,2.6738692829550907,16322997.497172708,7,15.5
12,26,fortnightly,100,2.021288509607435,1.6030323011017034,2.4497864892931136,218411.80325604047,5.0426390720238325,7881422.128451128,14,19
13,20,weekly,100,2.04797544444174,1.3878532162512494,2.88340425775757,834199.6147094654,2.8217915046519337,16615299.101289043,7,16.5
13,27,fortnightly,100,2.0245306519636626,1.6203146015456236,2.466968644195292,211581.85946531882,5.548617724026168,7370826.889322738,14,20
14,21,weekly,100,2.0389330605137417,1.4133397016183817,2.7793661413258435,674457.2579927641,2.9708868413033955,16202087.435781835,7,17.5
14,28,fortnightly,100,2.0267768286324146,1.6543264479686026,2.46803283362387,211581.85941777882,5.822935114155707,6860231.650194348,14,21
15,22,weekly,100,2.0329151229737,1.4149658546836237,2.705441911410779,501158.2330507827,3.283362102701087,14446053.099902513,7,18.5
15,29,fortnightly,100,2.0301872860471106,1.6903087474790957,2.4629112856491076,209166.4389644201,5.907912993989162,6163098.7954833405,14,22
16,23,weekly,100,2.0256223859005704,1.437932608082012,2.6106071062093914,362309.38559403294,3.5777424976814296,12363741.951100381,7,19.5
16,30,fortnightly,100,2.02964458355528,1.7119914041392021,2.4458715346587137,171537.13282133677,5.800692152114642,6068048.577074412,14,23
17,17,daily,100,2.0346502358784773,0.6333640158595312,3.901394802116645,3052895.1908072773,1.472460033960763,51678494.718375534,1,17
17,24,weekly,100,2.01790885758038,1.447280638535099,2.5801724438954636,333675.0841897161,3.8387347021669114,10770187.138695454,7,20.5
17,31,fortnightly,100,2.028428940695845,1.7252931653201709,2.4326531059010046,81608.87422977478,5.928604442434241,6068048.577074412,14,24
18,18,daily,100,2.0346502358784773,0.6333640158595312,3.901394802116645,3052895.1908072773,1.472460033960763,51678494.718375534,1,18
18,25,weekly,100,2.0129088045689367,1.4853726188971859,2.541908918201513,323518.74423227087,4.040381662856361,9632017.562271379,7,21.5
18,32,fortnightly,100,2.0243367742273755,1.739646098608339,2.4099417662149607,30086.26811032758,6.43843032073271,6067742.009613197,14,25
19,19,daily,100,2.05727551292393,0.6462164648468535,3.802255597955417,2835278.5086736493,1.4015549001596233,41361417.53966885,1,19
19,26,weekly,100,2.0182361826213526,1.5170237134998394,2.561419922705564,265931.9895957529,4.2892900200925315,8817233.051995078,7,22.5
19,33,fortnightly,100,2.023043013699748,1.7550064361598718,2.3802698718879656,10299.70856673226,6.811768777108397,5465659.37331112,14,26
20,20,daily,100,2.0193461895789437,0.631197900100379,3.6784833669773733,2604967.073517725,1.255026532373946,30932247.407776315,1,20
20,27,weekly,100,2.0282299528426946,1.5333603328638439,2.604482175834578,265931.9895957529,4.695749822743021,8105056.40420163,7,23.5
20,34,fortnightly,100,2.0217978119901328,1.7610142018027466,2.350226925291215,11312.436074676594,7.438023513420805,4593459.002681165,14,27
21,21,daily,100,2.0407937065315678,0.6869160762933298,3.733797010226329,2402092.5394129683,1.177509013947737,28213086.820436966,1,21
21,28,weekly,100,2.0360746407743124,1.5564316247942445,2.637576974242734,265931.989500673,4.622663443954241,7594254.7245806,7,24.5
21,35,fortnightly,100,2.019468411119003,1.7548690270606062,2.343186735744663,6413.141262480166,7.72868706988368,4251498.923907446,14,28
22,22,daily,100,2.010975128473882,0.563384849844736,3.610936140552559,2258810.666640215,1.7341856973091385,24505830.688881334,1,22
22,29,weekly,100,2.040398318773539,1.5879782333003964,2.648847740804095,281059.8753214509,4.668014165788992,7083659.48545221,7,25.5
22,36,fortnightly,100,2.0143501778923176,1.7628924861235455,2.314415510932125,4951.870169130914,8.516872336772161,3901723.126175177,14,29
23,23,daily,100,2.0302657986370263,0.6342184171252773,3.5444987977172686,2277498.4000678095,1.727089923407319,23174892.789765697,1,23
23,30,weekly,100,2.0427879423661692,1.6314943190631264,2.6331888960145924,220991.25472390538,4.661455090647717,6860231.65019435,7,26.5
23,37,fortnightly,100,2.0118981807316723,1.7727363058123176,2.2963155748535353,241.95443771173845,9.137899911979899,3630473.3616543156,14,30
24,24,daily,100,2.0111935661879103,0.7183715181631358,3.409899179661681,1801780.3098180888,1.5678404619277606,23174892.789765697,1,24
24,31,weekly,100,2.0423834526895113,1.6508696275786627,2.582809972598954,164751.70508891178,5.081271711713925,6860231.65019435,7,27.5
24,38,fortnightly,100,2.010848990448518,1.7859134101899856,2.2650738422384147,184.94234725832084,9.389794031566147,3524223.443237154,14,31
25,25,daily,100,2.01472278687474,0.7884473369978129,3.4653083612972373,1806588.9067014698,1.2996373669132353,23174892.789765697,1,25
25,32,weekly,100,2.0382703733125243,1.6727472783034985,2.5395906983583303,96382.2098455379,5.549707840987959,6162792.228022128,7,28.5
25,39,fortnightly,100,2.010430491605113,1.7922049698676805,2.250489397493652,156.31180930730258,9.759032349104038,3139981.369030691,14,32
26,26,daily,100,2.0310636109047278,0.8843429260281656,3.427750096056503,1399172.0126163242,1.4532615086007323,23569660.174340386,1,26
26,33,weekly,100,2.0341507981972415,1.6808750145889328,2.477016809366157,64149.08068788288,5.739772887375295,6162792.228022128,7,29.5
26,40,fortnightly,100,2.010451093664441,1.8062457291428693,2.23790025509018,147.36833056735006,10.32787557218103,2847353.249260885,14,33
27,27,daily,100,2.0728229882963993,0.9111989263073906,3.5000879769706983,1686701.6352735423,1.5643874833080034,23314926.059994668,1,27
27,34,weekly,100,2.030126982413511,1.692348537818918,2.452445207419489,31703.779155664906,6.124334009179506,5315169.775903241,7,30.5
27,41,fortnightly,100,2.010408669789757,1.8265531817292795,2.221382725931576,134.30789431323512,11.510302573182171,2556924.413703365,14,34
28,28,daily,100,2.069220710273752,1.0668058846867925,3.493559132991009,1328811.8869938443,1.7305726771129517,23314926.059994668,1,28
28,35,weekly,100,2.0222278546479595,1.702892368757829,2.404802300554221,6946.0966369828575,6.293723206057474,5636910.778866649,7,31.5
28,42,fortnightly,100,2.0098621364236937,1.8420082721310667,2.2032907767627745,133.82789893860704,12.443679092720954,2545686.1973636593,14,35
29,29,daily,100,2.0614173343447018,1.1158107034456075,3.391420423714924,1438210.9908973437,1.933020738256418,21374138.133785896,1,29
29,36,weekly,100,2.0128040942272403,1.7220103083461475,2.356524773863666,5639.335627882407,6.894627340721942,4939471.356694427,7,32.5
29,43,fortnightly,100,2.0068604086950743,1.8518312420967753,2.1822547391756966,120.43407838880046,13.492958078648641,2545686.1973636593,14,36
30,30,daily,100,2.040018270610648,1.1303928829678445,3.2487774120433195,1099538.3239761537,2.2469983074710846,20570629.100572225,1,30
30,37,weekly,100,2.0061611445331073,1.7343713094850413,2.3172178275490336,5687.111898199335,7.471333239457784,4939471.356694427,7,33.5
30,44,fortnightly,100,2.0045655139162943,1.852854317430556,2.1740428323526415,123.9325578561343,14.444359168097243,2395814.4535176572,14,37
31,31,daily,100,2.028400844965084,1.1001082458310518,3.037903006194366,1081679.5306842327,2.1007055353092254,19505868.86485992,1,31
31,38,weekly,100,2.003916270175645,1.740642769452333,2.3071126507169577,5312.5791223722545,8.228008853573145,4213786.691828757,7,34.5
31,45,fortnightly,100,2.0026441830953656,1.8552207130449243,2.165125346317524,114.0945014070412,15.117261497673539,2177201.5629991554,14,38
32,32,daily,100,2.011596765851617,1.0510669412246303,2.9733408146379587,843053.0028331591,2.216622788217402,16989306.808553655,1,32
32,39,weekly,100,2.0031286504260617,1.7493241521660614,2.295161834632752,7067.449910110605,8.760280760788165,3757647.017047577,7,35.5
32,46,fortnightly,100,2.0013810473791342,1.8555946330182074,2.15327739603245,115.73671760474117,15.522259813535841,1917211.383193114,14,39
33,33,daily,100,2.013528281269259,1.0514748527422073,2.912107543686009,705383.8181798508,2.199694322536838,16047200.938763453,1,33
33,40,weekly,100,2.0049748695300487,1.7676614144457712,2.273483336079718,2093.4447787103686,9.041299623720505,3458027.725722481,7,36.5
33,47,fortnightly,100,2.0003912673820174,1.8644038665025977,2.1341349554888533,113.44648343133179,15.590091086948261,1756074.2552557683,14,40
34,34,daily,100,2.016404002468705,1.1126138122572693,2.931157813893149,540008.3733794653,2.5298047663907366,14633328.899170995,1,34
34,41,weekly,100,2.006308425734382,1.7887981816094503,2.248080148221393,2034.3059013162656,9.49835418339101,3123332.554876343,7,37.5
34,48,fortnightly,100,1.9996576617660937,1.8747768440609762,2.1277799986844816,114.9681842129243,16.061978436432025,1667303.7677451486,14,41
35,35,daily,100,2.006578287343093,1.2126226647552765,2.8646333865498033,470348.69661797554,2.7376746648389023,14969390.497807896,1,35
35,42,weekly,100,2.0073984463512162,1.8099054207462213,2.2250145111887085,274.33481024059546,10.079345116917219,2939383.9623267823,7,38.5
35,49,fortnightly,100,1.999066166181674,1.8852137751182745,2.127250128287336,109.90315404559455,16.566924986745608,1573548.611407085,14,42
36,36,daily,100,1.9908474434972963,1.2950332914403124,2.829708439382396,594240.2687561022,3.092982679847354,12696369.225695329,1,36
36,43,weekly,100,2.0054434058863824,1.817949843851622,2.2099612963575823,242.20580172194343,10.938072111376792,2749098.016267803,7,39.5
36,50,fortnightly,100,1.9976646811213097,1.8929211198310902,2.123428622290396,103.17454817628277,17.453189894171057,1530758.081742268,14,43
37,37,daily,100,1.9976344315538064,1.3334874431658694,2.7652390290151616,633838.3927562424,3.108794861261464,12696369.225695329,1,37
37,44,weekly,100,2.0055221930519913,1.82676419562733,2.189720657744352,163.95381818489253,11.704437774217928,2535034.676422639,7,40.5
37,51,fortnightly,100,1.997134953378321,1.8987028759796774,2.112632101879157,110.0009368895547,17.8012338644321,1460499.5109469004,14,44
38,38,daily,100,2.0125867844153276,1.3527653232702923,2.7439607760999993,502316.1760124844,3.1652561012230827,10639070.571332933,1,38
38,45,weekly,100,2.0046376538759505,1.8307288196707272,2.179301866647881,117.96902548635832,12.770488624615963,2434820.2343225856,7,41.5
38,52,fortnightly,100,1.9972647373797514,1.9034618621731176,2.102082766547245,112.61156225382273,18.15684657081718,1235859.3183327925,14,45
39,39,daily,100,2.014180118012097,1.4220349198122555,2.676085773417648,414468.8059699652,3.41934792333849,10510799.729539966,1,39
39,46,weekly,100,2.003350712408141,1.8423161200483953,2.1678526762304187,116.96148764683039,13.448760914723074,2329626.8393587973,7,42.5
39,53,fortnightly,100,1.9983784156419013,1.9080970444260323,2.0947953201341627,111.44429491188264,18.891183381688204,1235017.6640043585,14,46
40,40,daily,100,2.022447219521942,1.4459585892662583,2.6390280345340096,355379.47204417543,3.726015021632989,7981640.43408373,1,40
40,47,weekly,100,2.0014390749256212,1.8494345692206775,2.1592920653304737,109.7070100799253,13.623411395208459,2537047.3496578336,7,43.5
