t,sse,n,k_input
174,ss_link,1,0.1
174,nn,0.6666666666666666,0.1
175,ssn,0,0.1
175,ss_link,1.6666666666666667,0.1
175,nn,0.6666666666666666,0.1
176,ssn,0,0.1
176,ss_link,2.6666666666666665,0.1
176,nn,0.6666666666666666,0.1
177,ssn,0,0.1
177,ss_link,1,0.1
177,nn,1.3333333333333333,0.1
178,ssn,0,0.1
178,ss_link,0.75,0.1
178,nn,0.5,0.1
179,ssn,0,0.1
179,ss_link,1,0.1
179,nn,1,0.1
180,ssn,0,0.1
180,ss_link,0,0.1
180,nn,1,0.1
181,ssn,0,0.1
181,ss_link,0,0.1
181,nn,3,0.1
182,ssn,0.5,0.1
182,ss_link,0,0.1
182,nn,1.5,0.1
185,ssn,0,0.1
185,ss_link,1,0.1
185,nn,1,0.1
186,ssn,0,0.1
186,ss_link,2,0.1
186,nn,0,0.1
187,ssn,1,0.1
187,ss_link,3,0.1
187,nn,0,0.1
188,ssn,0,0.1
188,ss_link,4,0.1
188,nn,0,0.1
189,ssn,0,0.1
189,ss_link,4,0.1
189,nn,0,0.1
190,ssn,0,0.1
190,ss_link,2,0.1
190,nn,0,0.1
191,ssn,1,0.1
191,ss_link,2,0.1
191,nn,0,0.1
192,ssn,0,0.1
192,ss_link,2,0.1
192,nn,0,0.1
193,ssn,0,0.1
193,ss_link,1,0.1
193,nn,0,0.1
195,ssn,1,0.1
195,ss_link,2,0.1
195,nn,2,0.1
196,ssn,0,0.1
196,ss_link,2,0.1
196,nn,1,0.1
197,ssn,0,0.1
197,ss_link,2,0.1
197,nn,0,0.1
199,ssn,0,0.1
199,ss_link,3,0.1
199,nn,1,0.1
200,ssn,0,0.1
200,ss_link,3,0.1
200,nn,1,0.1
201,ssn,0,0.1
201,ss_link,1,0.1
201,nn,1,0.1
204,ssn,0,0.1
204,ss_link,1,0.1
204,nn,0,0.1
206,ssn,0,0.1
206,ss_link,0,0.1
206,nn,1,0.1
0,ssn,0.3566666666666667,0.5
0,ss_link,0,0.5
0,nn,0.6433333333333333,0.5
2,ssn,0,0.5
2,ss_link,0.5,0.5
2,nn,0.5,0.5
3,ssn,0.14285714285714285,0.5
3,ss_link,0.6,0.5
3,nn,0.42857142857142855,0.5
4,ssn,0.2706766917293233,0.5
4,ss_link,0.7218045112781954,0.5
4,nn,0.41353383458646614,0.5
5,ssn,0.2774869109947644,0.5
5,ss_link,0.9947643979057592,0.5
5,nn,0.5287958115183246,0.5
6,ssn,0.24271844660194175,0.5
6,ss_link,0.9271844660194175,0.5
6,nn,0.6262135922330098,0.5
7,ssn,0.22404371584699453,0.5
7,ss_link,1.0382513661202186,0.5
7,nn,0.4972677595628415,0.5
8,ssn,0.2654320987654321,0.5
8,ss_link,0.9012345679012346,0.5
8,nn,0.4876543209876543,0.5
9,ssn,0.2804878048780488,0.5
9,ss_link,1.1524390243902438,0.5
9,nn,0.7560975609756098,0.5
10,ssn,0.2676767676767677,0.5
10,ss_link,1.4141414141414141,0.5
10,nn,0.8787878787878788,0.5
11,ssn,0.3167420814479638,0.5
11,ss_link,1.3619909502262444,0.5
11,nn,0.9547511312217195,0.5
12,ssn,0.3852813852813853,0.5
12,ss_link,1.5238095238095237,0.5
12,nn,1.2077922077922079,0.5
13,ssn,0.38596491228070173,0.5
13,ss_link,1.530701754385965,0.5
13,nn,1.2719298245614035,0.5
14,ssn,0.38589211618257263,0.5
14,ss_link,1.829875518672199,0.5
14,nn,1.2074688796680497,0.5
15,ssn,0.4364406779661017,0.5
15,ss_link,1.8008474576271187,0.5
15,nn,1.4576271186440677,0.5
16,ssn,0.4819277108433735,0.5
16,ss_link,1.963855421686747,0.5
16,nn,1.6144578313253013,0.5
17,ssn,0.6052631578947368,0.5
17,ss_link,2.206766917293233,0.5
17,nn,1.962406015037594,0.5
18,ssn,0.5970149253731343,0.5
18,ss_link,2.537313432835821,0.5
18,nn,2.2313432835820897,0.5
19,ssn,0.7148148148148148,0.5
19,ss_link,2.72962962962963,0.5
19,nn,2.4555555555555557,0.5
20,ssn,0.7436823104693141,0.5
20,ss_link,3.1299638989169676,0.5
20,nn,2.732851985559567,0.5
21,ssn,0.7359154929577465,0.5
21,ss_link,3.2711267605633805,0.5
21,nn,2.9859154929577465,0.5
22,ssn,0.9361702127659575,0.5
22,ss_link,3.517730496453901,0.5
22,nn,3.354609929078014,0.5
23,ssn,0.906896551724138,0.5
23,ss_link,4.144827586206897,0.5
23,nn,3.782758620689655,0.5
24,ssn,1.1355932203389831,0.5
24,ss_link,4.759322033898305,0.5
24,nn,4.301694915254237,0.5
25,ssn,1.4222972972972974,0.5
25,ss_link,5.320945945945946,0.5
25,nn,4.8141891891891895,0.5
26,ssn,1.3037542662116042,0.5
26,ss_link,5.7679180887372015,0.5
26,nn,5.477815699658703,0.5
